id,source_id,name,type_name,secteur_chefferie_commune_id
498,519,KINZASHI  KHUMBI,G,48
499,520,KISENZELE,G,48
500,521,LOZI  MAKUMBI,G,48
501,522,MANDA  PULU,G,48
502,523,MUHANGE,G,48
503,524,NGASHI,G,48
504,525,NGUNDU  KASANDJI,G,48
505,526,NGUNDU  KINDAMA,G,48
506,527,DONGO  SELENGE,G,49
507,528,GATUNDA,G,49
508,529,KAPENDA,G,49
509,530,KIMBUNZE,G,49
510,532,KINZAMBA,G,49
511,533,KUNGU-NZUMBI,G,49
512,534,LOZO  MUNENE,G,49
513,535,MALUNDU,G,49
514,536,MUNZOMBO,G,49
515,537,MUSANGA  LUBWE,G,49
516,538,NGONDO,G,49
517,539,NGUNDA,G,49
518,540,EBIALE,G,50
519,541,KIMBANDA,G,50
520,542,KIPUNDU,G,50
521,543,LUFUSHI,G,50
522,544,LUKAMBA,G,50
523,545,MATENDE,G,50
524,546,MUKULU,G,50
525,547,HOLO,G,51
526,548,KANDONGO,G,51
527,549,KASANZA  KAFUFU,G,51
528,550,KASHITU,G,51
529,551,KIZUNGU  NZADI,G,51
530,552,MUDIKALUNGA,G,51
531,553,MUDIKWITI,G,51
532,554,MUDIWAMBA,G,51
533,555,MWANDU,G,51
534,556,NDALA  KUNDA,G,51
535,557,NGANDU  KITSHINDJI,G,51
536,558,SHIMUNA  KANGA,G,51
537,559,KAHUNDJI,G,52
538,560,KANGU,G,52
539,561,KINGULU,G,52
540,562,KITOMBE,G,52
541,563,KIZUNGU,G,52
542,564,MANGOLO,G,52
543,565,MUKOSO,G,52
544,566,MUTOMBO KANGU,G,52
545,567,MUTUNDU,G,52
546,568,NGONGO  KISUMA,G,52
547,569,NGUMBA  MBULU,G,52
548,570,NGWANGWA,G,52
549,571,NIEKENENE,G,52
550,572,PUKUSU,G,52
551,573,BAWONGO,G,53
552,574,BUSHI,G,53
553,575,KIMBEMBELE,G,53
554,576,KIPINDJI,G,53
555,577,NGASHI,G,53
556,578,NGUDI,G,53
557,579,SAMBA,G,53
558,580,IPANGA  MPILA,G,54
559,581,KALANGANDA MUNKEN,G,54
560,582,MAYANDA,G,54
561,583,MPUKULU  MUSENGE,G,54
562,584,MUSENGE  LUMEYA,G,54
563,585,MWEMPATA,G,54
564,586,PUKULU  LAKASA,G,54
565,587,BAKWA  MWENGE,G,55
566,588,BAKWA  PUKU,G,55
567,589,BAKWA  SAMBA,G,55
568,590,BELO  SHIMUNA,G,55
569,591,BESI  BULENGE,G,55
570,592,KIFUMU  NENGA,G,55
571,593,KIMBEMBELE,G,55
572,594,MADIMBI,G,55
573,595,NGULA  NDAMBI,G,55
574,596,BANGOLI  OVEKE,G,56
575,597,BIFAR,G,56
576,598,KINTSWA  MFINDA,G,56
577,599,NGALA  EBIALA,G,56
578,600,NGALA  KIANGA,G,56
579,601,NGALA  MANKONDO,G,56
580,602,NSIEN  KIMPUTU,G,56
581,603,NSIEN-BIDIBA,G,56
582,604,PILIPILI,G,56
583,605,ZULUBANGA,G,56
584,606,LWEM (MWEBE),G,57
585,607,MPANELIM,G,57
586,608,MUKUMPUM,G,57
587,609,NGALA  LWELE,G,57
588,610,NGALA  MPANGA,G,57
589,611,NGALA  NGOSO,G,57
590,612,MBWILI  BAL,G,58
591,613,MIYOYO,G,58
592,614,MVULAMPI (TSHAMBA),G,58
593,615,BANGOLI,G,59
594,616,IBO,G,59
595,617,MUNKEN  A  MBEL,G,59
596,618,NSOG TOR,G,59
597,619,BALAKA,G,60
598,620,BUKUTU,G,60
599,621,GOMBE,G,60
600,622,IKWITI,G,60
601,623,INGUNDU,G,60
602,624,ISAMANGO  BENZI,G,60
603,625,ISAMANGO  MUSENGE,G,60
604,626,ITUNDA  KIKANDA,G,60
605,627,IYUWU,G,60
606,628,KIPUKU,G,60
607,629,TUNDU  MAPEPE,G,60
608,630,UBOLE,G,60
609,631,IKWITI,G,61
610,632,BAKWA  MUYANZI,G,61
611,633,BAKWA  NENGA,G,61
612,634,BAKWA KIZANGA,G,61
613,635,BANDA  BIKWATI,G,61
614,636,BANDA BUSUNGU,G,61
615,637,ISAMANZOKO,G,61
616,638,KABWATA,G,61
617,639,KAHEMBA,G,61
618,640,KIBULU  MWANGA,G,61
619,641,KIKOSO  MFINDA,G,61
620,642,KIMBEMBELE KINGUBA,G,61
621,643,KUNGANENE,G,61
622,644,LWENDE NZANGALA,G,61
623,645,MUNGAY,G,61
624,647,BULANGA  MPEY,G,62
625,648,BULANGA  WEY,G,62
626,649,KINDAY,G,62
627,650,LUNGWAMA,G,62
628,651,MABA-MABA,G,62
629,652,MATEKO,G,62
630,653,MAYUM,G,62
631,654,MUZO,G,62
632,655,NKENGE,G,62
633,656,YAYA,G,62
634,657,AMBUN  INTSHUEM,G,63
635,658,AMBUN  LUBWE,G,63
636,659,BESI  BULENGE,G,63
637,660,IFANZONDO,G,63
638,661,MUSENGE  MPUTU,G,63
639,662,NGALA  MAKELA,G,63
640,663,NSALEM,G,63
641,665,KIBWANGA,G,64
642,666,MUNIM,G,64
643,667,NKAMINAY,G,64
644,668,NKUMI,G,64
645,669,TSHITSHIRI,G,64
646,670,WAMBA,G,64
647,671,KWETINA,G,65
648,672,NGOMENENE,G,65
649,673,TSHIMANGUNGU,G,65
650,674,BUKA  KIPANGU,G,66
651,675,BUKA  TSONA,G,66
652,676,BWANGONGO,G,66
653,677,MWELA NDUWA,G,66
654,678,NGOMBE,G,66
655,679,MENIKONGO,G,67
656,680,MUNGULU,G,67
657,681,BUKA  NKENTO,G,68
658,682,KABANGU,G,68
659,683,MAYOYO,G,68
660,684,MIKUNZI NSEKE/MABAYA,G,68
661,685,MIKUNZI NSAY,G,68
662,686,MUBUNDA,G,68
663,687,NZOMBA,G,68
664,688,TANGANGU,G,68
665,689,TAWAMBA,G,68
666,690,BANGALALA,G,69
667,691,KALUNGA  MUKINZI,G,69
668,692,KALUNGA MUDIKWITI,G,69
669,693,MUDIMBIMBI,G,69
670,694,MWILU-MWILU,G,69
671,695,KIMBIE,G,70
672,696,KIMWANZA  TWALA,G,70
673,697,KIMWILU  KUBA,G,70
674,698,KIMWILU  MUMBANDA,G,70
675,699,KIMWILU MABANZA,G,70
676,700,KINGOMA  MASALA,G,70
677,701,KINGOMA  MIKWI,G,70
678,702,KINGOMA  MUNENE,G,70
679,703,MUDIKWITI,G,70
680,704,BIBAMBA,G,71
681,705,KATEMBO,G,71
682,706,KATIKA,G,71
683,707,KIAMFU,G,71
684,709,MAFUTA  MINGI,G,71
685,710,MANGELA,G,71
686,711,MASI-MANIMBA,G,71
687,712,MATUNGULU,G,71
688,713,MIKUNZI,G,71
689,715,SUBU,G,71
690,716,KAZAMBA KINGULU,G,72
691,717,KIKASA  MWENE,G,72
692,718,KIMBIE  MUNGIE,G,72
693,719,KIMBIE  NGYAY,G,72
694,720,KIMBIE MUMBONGA,G,72
695,721,KIMBIMBI  MATWA,G,72
696,722,KIMBULUMBULU (MUSENGE MAZINGA),G,72
697,723,KIMPILA  NGOTO,G,72
698,724,KINDIA  BUSEKE,G,72
699,725,KINGOMA  BUNKIENE,G,72
700,726,KINGOMA  KAPENDA,G,72
701,727,KINGOMA  MIKWI,G,72
702,728,KINGOMA  MULWEM,G,72
703,729,KUMBI  MASHI,G,72
704,730,MUKULA  NGIEME,G,72
705,731,MUSENGE  KIALU,G,72
706,732,MUSENGE  MASWANGI,G,72
707,733,SAKAMBANZA,G,72
708,734,KAHUTSHI,G,73
709,735,KINTULU,G,73
710,736,KONGO  MULUMA,G,73
711,737,KUMBI  MASI,G,73
712,738,MBANZA  MUNDARI,G,73
713,739,MBARI,G,73
714,740,MBATA  KIZINGA,G,73
715,741,MBATA  MAWANDU,G,73
716,742,MIKUNZI,G,73
717,743,MUDIKIAMA,G,73
718,744,MUDIKWITI  KINGWAYA,G,73
719,745,MUDINGULU,G,73
720,746,MULUTU,G,73
721,747,MUNDONDA,G,73
722,748,MUNKIE,G,73
723,749,SAKAMBANZA,G,73
724,750,SHIMUNA,G,73
725,751,FUNGULU,G,74
726,752,MBULU  KABALA,G,74
727,753,MUDIKWITI   KAH,G,74
728,754,MUDIMUZINGA,G,74
729,755,MWAKANA,G,74
730,756,MUDIKISONGO,G,75
731,757,MUDIKISUWA,G,75
732,758,NGULU  MBISHI,G,75
733,759,PATA  KIDINDA,G,75
734,760,BWEMA,G,76
735,761,MBEE-NKURU,G,76
736,762,BANUNU BOBANGI,G,77
737,763,BOKOTE,G,77
738,764,MBELO,G,77
739,765,MPENGE,G,77
740,766,NGONGO-BASENGELE,G,77
741,767,BOKWALA,G,78
742,768,IBEKE-BOLIA,G,78
743,769,LOKANGA,G,78
744,770,NKILE,G,78
745,771,IBENGA,G,79
746,772,IYEMBE,G,79
747,773,NTOMB'ENDJALE,G,79
748,774,BAKONDA,G,80
749,775,ILANGA   BERONGE,G,80
750,776,IYEMBE  LOFOMBO,G,80
751,777,BOLONGO NGALI,G,81
752,778,BOLONGO WELI,G,81
753,779,IBEKE,G,81
754,780,WELI,G,81
755,781,BESENGO   WAYA,G,82
756,782,DJOKO,G,82
